text,labels
don't know  where you live,1
you next week when your out,1
i know i am just let you  know if you would like that,1
omg how sweet,1
so let me guess you  want to fell my tounge ring in your pussy so you  we will know how does it fell,1
darn i got to go my moms callin me,1
what does yours look like,1
feel very good,1
i mean; in person?,1
Are you blond?,1
why can't you just wait,1
your  parents still will there?,1
wish i was 15,1
we don't have to meet,1
what time does mom get off work,1
i hope i aint gettin to nosy ,1
i can't do that,1
you have pic?,1
ok i we will  come today,1
ok we don't have to,1
can you  call me for a quick sec,1
why should I lie to you,1
get me in trouble,1
bye see you tomorrow,1
now your  starting to make me mad,1
you  have a pool in your area?,1
i see baby,1
i think your  a sweet hot cool guy,1
but i guess I can look it up on mapquest do you  know the name of the road,1
what do you want me to do???,1
yeah it allways hot there,1
I CAN BUY you SOME MINS,1
hi babyi need to know how to get to where you live baby i love you  and i can wait for friday,1
your sweeat too sexy let me know if i can see you before your mom live ok baby,1
mind was going that the othere day,1
have you done it before may be you cud do it better,1
have you  lay on your back on the dack with my face between your legs,1
"oh,.to answer your  question i just wanted to know how you felt about making,,just in case something happens i don't want to make a wrong move",1
i told you i don't want to get in trouble,1
are you  going to let me???,1
hope you like what you get,1
what time you goin to movies?,1
why did you  move here from st louis?,1
where you live btw?,1
did he suck them?,1
i am not sure i think like the first or second week,1
 think i can get 8 inches is in there?,1
don't you just want to wait until my moms gone,1
well you said your  hispanic,1
just say it and then we can talk about it more,1
you'll get hit on by an older guy soon laugh,1
maybe meet you  sometime,1
you done it before,1
 is your pussy hairy,1
or whatever you want,1
when and where?,1
you i think so but i don't want it to hurt,1
your closer to me than if you  lived in tacoma,1
get you  in there naked,1
 you my look?,1
we just moved here i don't know  nobody yet,1
what we will you do when you first get here?,1
ready for that?,1
" i am going to go,and look for you or wait outside your house so i we will know how you look like(This totally freaked me out. I was speaking with LE dyouring this, just so you  know)",1
"but I can't realy say much I for myself,",1
is this the first time them leaving you  alone,1
what is your address,1
you would get soooo hot,1
want to see something sexual??,1
are you  gonna tell your friends about your talk,1
hey baby try to see if i can call you tomorrow at your house or at a friend house baby and let me know ok love you  and miss you,1
but at least you  can tell me like where you live,1
you  don't know  what i am talking about,1
you can just come in the back,1
I have experience,1
and how easy it we will be,1
and go to jail,1
yeah alot of just girls and some boys that girls sent me,1
well you just kinda confused me a little,1
love to meet you  at the park sometimes any park,1
i liked what you said yesterday,1
i havent done that much so i don't really no much,1
i am kinda skinny i hope that is ok. you need to tell me what you will be wearin and if your  for sure gonna meet me ok,1
where would we go,1
" get in trouble for fucking you?Yes, you  we will  get in trouble because  I'm fucking you.",1
i won't never know unless we try huh,1
is it short?,1
may be a little when you keep pushin to meet so soon,1
i'd like to do it all,1
i guess giving head,1
i love you  and miss you  i hope to see you next week baby monday or tuesday ok love you baby,1
well that is when i feel kinda stupid,1
do you like the water?,1
you  are not going to get in trouble baby,1
yelp? did someone step on your  tail?,1
we  might go close to where you live,1
are you  ready,1
i will be back ok,1
hey baby i hope to see you  soon i can wait to meet you  and bye with you  love you  mike,1
tight jeans what about undies and a bra,1
i want to give you my address but i want to talk to u,1
you want me to park in front of your house,1
do you want to lose your virginity???,1
do you  wish to meet somewhere else,1
like where you want to meeet,1
did you  want hi am to??,1
you  won't or you  don't want to meet me,1
have you  ever seen a body part of a male???,1
i wish i cud at least call u,1
any cute guys you  like at school???,1
i could get in real trouble,1
how warm is it there,1
i guess that would be the place huh,1
well hey I guess give me a call let me know what is going on,1
i we will problem never be invited,1
to a hotel,1
we will you  give me a blowjob too,1
ok but so far tomorrow is free for me,1
out of school this week?,1
you would get scared would not u,1
why is a cell your mom is not going to take it with her,1
ok as in you want to meet me???,1
guy or girl don't matter,1
"i want to fuck you really bad but,",1
can you  shave it,1
bet you will,1
i am gonna study real hard so we can i no you wanted to so i hope you will be on later tonight,1
well how did I know laugh,1
like where do you  fell that you want to feel my tounge ring,1
you could get me in trouble,1
bye love you,1
caller id and stuff,1
you  want to come over,1
what time she go in??,1
i don't know  what do you want to feel good,1
leave the skin on,1
can you  call me now,1
i am not sure yet i think around 3 or for,1
you must be tired of it,1
oh well i am going to bed,1
you  can ask what ever you want baby,1
" cali,going to vegas this weekend,just wondering if you  like older guys,i am 38",1
but you acted like it was bad,1
they we will call a couple of times laugh,1
would you like one slid into you?,1
we can get to know each other,1
you  need someone to touch you  all over,1
don't want you to get killed laugh,1
you think i am a baby don't you?,1
what have you done,1
like my age,1
I we will have a black button up shirt and some blue jeans,1
 i just want to make you  happy and also make you  feel real good,1
hi baby let me know how to get to your house on friday ok baby love you baby and i can wait for friday,1
yeah you kinda turn to the right then i am the first house on the right,1
omg how sweet!,1
i never saw u,1
i am gonna get in the shower i guess let me know if your  coming or not,1
have you  ever wanted to???,1
what is your  favoright food?,1
just let me know once you're available,1
I think they are sexy,1
no chance of hearing your voice tonight huh?,1
yeah i guess so he liked it,1
if you came knocking on my door it  might be different ,1
has a guy ever jacked  off in front of you,1
laugh yeah you would because i could drive away,1
maybe i am a pedophile,1
are you  going with them,1
what did you tell me last night?,1
maybe even make me cum,1
i don't want to just go with sum stranger if its not u,1
what do you think when you see em in pictures?,1
you  said you  wanted to wait till will today,1
so what kind of care do you have,1
but I don't think you would do that to me would you ?,1
i we will see you tomorrow,1
umm I can't until like 530 or 6,1
ok then we we will go for a ride on the bike then,1
think you will like it?,1
probably soon i gess,1
have you  ever sucked a penis??,1
your only 13 (No doubt he knows how old she is.),1
like the different ways to do stuff,1
depends on what,1
yes i know but if i was going to go friday i was hoping to sleep over and wake up with you satyourday too,1
NO what is your NUMBER,1
you will want to be doing it alot,1
do you want to?,1
dang that is farther than i thought,1
so your  bringing them? i was kinda confused,1
can I play with your boobs too???,1
are you going to taste my dick all the way inside your pussy baby,1
but my moms on vacation the same as me so it might be hard when she is home,1
i was going to shave it all,1
if you have more questiosn,1
i think you we will know by the big motorcycle that come in laugh,1
like in the mall?,1
that is usually a good sign,1
yes maybe we can meet sometime if only just to say hi,1
no i just go there,1
you wiil know,1
omg mike is that u,1
you  like mine,1
i'm a little big,1
what did you do on the weekend baby,1
there going to atlantic city,1
" ok maybe when we know aech othere more we can meet before you  go back to school(okay, this is where you  can start counting the times he asks to meet. I don't know  the answer, though   I lost count.)",1
so what are you  up too tonight,1
you  ever done phone sex,1
tease and please,1
omg my moms gonna see u,1
so they going out of town huh?,1
i told you that you can't,1
hi i am sorry i missed u,1
so i see you tomorrow ok,1
love to teach you  anything you  want to know,1
what do you think you will think?,1
 laugh you are to cute laugh ,1
you want it more than once?,1
omg i guess i am nervous huh?,1
we have been pretty busy,1
are you  parents strict?,1
you stood me up,1
my god your 13,1
never had an orgasm have you?,1
me being older,1
if i do u,1
we should hook up ,1
where to meet?,1
i don't know easy to chAT WITH I GUESS,1
did they pack at all?,1
your mom would get mad,1
i was thinkin to spend the night (if that is ok with you) (Why on earth would he want to spend the night?),1
older guy who was gonna pik you up(Sounds like 1/to the internet),1
so how you doing today?,1
but you don't seem to care so I don't think it would be worth it ,1
you   might need a jacket,1
your  invisible again laugh,1
so do you  still will have my dick,1
sunday where and what time?,1
how far are you from the chyourch,1
can you shave it all,1
they must look nice on you,1
jsut some pink ones,1
don't you like me?,1
i am not like that,1
if you  want one where would you  want it,1
i am scared because i could get caught,1
i promise i won't,1
i will wave at u,1
mike i hope you come online to night i need to know if i should go to the mall,1
make your nipples hard?,1
what are you saying,1
and i won't bothere you  no more,1
see? your  soo sweet,1
what does mom do???,1
dang you look yummy ,1
no i can't be outside,1
were are you  going,1
a child molester laugh,1
i can't wait til tomorrow i bet i won't sleep tonight laugh,1
have you  ever played with your pussy,1
you still will down?,1
yeah that sould be good,1
yeah i hope they will get me one i am not sure if they will,1
I have to first find out where you live laugh,1
don't forget your  swimming suit laugh,1
I would never hurt you,1
ok that is kewl,1
like what stuff???,1
it is just you and me so what does it hurt to ask,1
i relly don't think i can,1
no telling how far we'd go,1
i know but that is the way it is,1
so are we on for tonight sweety?,1
how old are they?,1
i am surprised because your  cute,1
did you shake and shudder?,1
sorry i was just bein kinda sad about my dad i don't see hi am much,1
but i could see u,1
so have you  decide when can we see aechother,1
omg i am so excited!,1
or JUST A BLOW JOB,1
rather a bed?,1
i am to shy laugh,1
be so scared you want to split?,1
trust me you we will like what you  see in person,1
hey mind if i add you,1
think you would like that?,1
i am sure well chat,1
your  place is about 50 min from her,1
find out when she is living,1
promise me that you're not setting me up,1
well she is leaving at 5,1
do you got a gf?,1
any more pics,1
" well, now you  can get to know me",1
i am good to just waiting to see when are you going to give a chance,1
then not now,1
ummm may be at like 6 or so,1
well i will pretend i am sick and meet you at around 10,1
"i think we klikin,,should be fun tonight",1
don't you just love it,1
i will be here for a little wile then probably later,1
yes and suck on your nipples,1
or just buzzing?,1
you  don't like talking to me,1
"let me tell you something if you  were wearing a dress and I was sitting across from you  and you  spread your legs and I can see your panties undeare your dress I think I would attack you  lmao ( Attack, interesting choice of words. )",1
won't mom hear you?,1
yeah do you?,1
about what guys think,1
how many girls you know do it?,1
how you think you will feel with a dik going in you?,1
are you married,1
" I feel like I can talk to you  about anything I love it ( after one hoyour, he can talk to here about anything he wants! Doesn't matter that she says she doesn't want to talk about it, he'll convince here it's okay. )",1
i love you too can wait to see you  baby so we can be togethere i love u,1
I could if you  want,1
"well i am hoping you can come. i will just be sittin at a table in front of *edited, its at the bottom of teh escalteare down from the food coyourt. right by *edited*. just follow the smell laugh i just love that place",1
i have to eat supper now,1
when you get there,1
but where would I meet you  ?,1
so your ok with it?,1
so i guess i was,1
i am single why,1
want it don't you?,1
you  we will when you see me,1
email me your pic too,1
a girl your age sucking two guys dicks,1
are you sure I was at the right one?,1
I am done for the day,1
leave yout  voice on it,1
well you must like older guys cause that is all that is in here ,1
i have lotion too,1
" well, it's just that you're so young",1
so you be home by 1to30?,1
yeah that sounds nice,1
you are making me nervous now laugh,1
how do i do that?,1
you're my little boo,1
can't see you doing it,1
nah you  could hold on to me mmmmmm laugh,1
he was in your blouse?,1
or you  want to feel something alse,1
like you tell me if you like what you see,1
bet your mom would like a massage that way you  can see,1
like that hair is not on the way(ugh),1
is your  hair long?,1
mike i might be able to meet you tomoorow or friday at teh movies,1
because you kinda type like you do laugh,1
 that be a problem if i were?,1
ever been naked in front of a guy,1
not really i did not think id be doing anything laugh,1
like when's your  birthday,1
would you go to my care and neck?,1
 jenny we will have a dick in here by for,1
how about you,1
few days from yours,1
well it is odd to you  but not to guys,1
ok i won't go today,1
I am ok I we will just ask about you  then   so what color panties are you wearing,1
it be nice to see you tomorrow,1
she might catch me,1
anything you  like,1
what are you doing for christmas,1
is anytime ok?,1
wow that sounds kinda cool,1
wow so you want my number ???,1
" yeah, but not just with anyone",1
i will just wear jeans and a green jacket,1
I won't cut you,1
i like you and you like me,1
how tall are you,1
may be i will cyou online later,1
don't call because it we will show on caller id,1
i am here i cause i am helping my friend,1
what if i cum?,1
oh shoot mondays a holiday so my moms gonna be home,1
maybe go to the hot tubs,1
did you  want it???,1
i only had it to days before she found it,1
WHERE SHE WORK AT,1
i am kinda nervous not noing what you look like,1
what time you  going to watch the movie,1
theres no way to do it wrong,1
" i know, but i'm the best of the bunch",1
were you in heaven?,1
so now you know what a guy feels like,1
it vibrates ,1
so tell me what about if we see tomorrow,1
but you we will be,1
well i for sure want to kiss,1
do you think i can?,1
i don't want to cyber,1
look for me,1
" I didn't say that you did so what is the harm in telling me   I have white underwear on k I went first laugh ( I make it obvious I don't want to talk about underwear, and he tries to convince me it's okay. He even went first! )",1
how you like it,1
ok you want me to go tomorrow,1
did you like it,1
what do you mean you don't know laugh,1
it in your mouth,1
i don't know why can't just wait,1
your too sweet,1
ok i understand but I am glad I met you    you  are so cool,1
I have been riding one since I was 16 so I am a safe rider,1
on a friday and coming home sunday,1
good what you doing tonight???,1
oh me too?,1
you why you ask?,1
i said you got to tell me something abut you so i can know you better,1
i will try to check later to see if your online,1
you have cam,1
if you think you can handle it,1
i think i am going to a dinneare at 6 so  might not work,1
what kinda movie?,1
i'm not saying it,1
good keep it that way,1
is it a yes or no?,1
no that sounds kewl,1
don't matter to me we can party if you like,1
want to let me try? laugh,1
and the cops were there waiting,1
ok give me a sec and i we will  check to see exactly how long to get there,1
cause i want to meet you  that is why,1
i might check it late if i have to go potty or something laugh,1
why would you I would make you feel good,1
what kind of care do you got?,1
so what you gonna wear tomorrow?,1
i am not playing you baby,1
with the razor silly,1
yes I am are you,1
honestly no because  all I wanted was to get laid,1
why don't you  just come over,1
i am tired of being the only one who did not do it yet,1
you know you  want to eventually,1
so let meet then,1
well i don't want you to do anything you don't want to laugh,1
you won't get in trouble???,1
kewl I love the water,1
how many boyfriends you had?,1
they don't know  everything about me,1
i have to call dad with my calling card so mom don't know,1
i got to go soon though i have to eat dinner,1
you want me to cum get u,1
where were you  ?,1
like at 11 or 11;30 i have kinda dirty blond hair and i will have it in a pony tail,1
ok lotion it is ,1
i was thinkin of meeting in front ,1
what are you gonna do then?,1
has a girl ever kiss't you,1
how many beers does it take?,1
i wouldn't do that,1
hey baby what happend with you  let me know pls sexy love you,1
then I could have me way with you,1
you won't laugh at me or anyting will you?,1
you did not answer me,1
but what if we meet inside somewhere,1
will you bring condoms?,1
how we will i no its you,1
did he touch anything else???,1
hey don't be scared ok,1
what time do you think you could be here?,1
goodnight mike i love you and can't wait to see you tomororow,1
in his pants?,1
be thinking about me,1
what do you think about me,1
 right on the corner,1
i will show you exactly what to do,1
i will give it 11 years,1
I went by around one going to the ladies home to do her,1
you  stick 1 or two or may 3 fingers in your pussy to see how many your can get in,1
 i am gonna lay a 13 yare old,1
yes you  are to me,1
they all like it?,1
panty and bra just fine,1
yes the mom ask me to be,1
i get hard,1
you don't let me,1
"how many massages have you  had,truthfully",1
you can't call me because of my mom,1
what you want to do?,1
i bet you could do it then,1
 or rather do it in my car?,1
now that is the nicest thing you have said to me yet laugh,1
so what are you doing?,1
but you don't want to???,1
you HAVE ANY PICS,1
SO you HAVE BIG TITS,1
you  are probably some cop looking to get guys in trouble,1
i don't want to be scared,1
yeah its pink,1
i can't hang on long i don't want to use all my mins,1
that is so not cool,1
does it has something in the front your ,1
what color is your house,1
did you find them?,1
are you  excited,1
i thought we were gonna hangout tonight,1
did you  do a good job,1
don't do that my mom we will see u,1
I could go there and you  can see me and if you  like we can go to the park or something,1
well once you get on it you  would get used to it,1
tell me what you would like,1
just trying to see what you're up to,1
i don't want kids until i am married,1
be right back potty laugh,1
be right back pee,1
i am not drunk,1
on the internet,1
did he feel your tits?,1
i can wave at you if you want,1
no bro or sis,1
let me grab the phone,1
so are we still will good for tommorow,1
i can show you,1
you seem nice,1
we'll have to see were you  fit best,1
you relly don't care that i am 13,1
i will come on later,1
oh no no swweety,1
i we will  have to call you  tomorrow and see,1
what time is good for u,1
oh and you don't think they are,1
yeah the number i gave u,1
still will want to hook up?,1
can you  call me that do to confirm if you  still will want me to come by,1
you  name the place,1
only one pic,1
and then you will show me ,1
so i can fuck your pussy real good,1
i am sorry I have been drinking so you,1
can you  call back,1
i missed u,1
 if i do it to you i we will do it real slow so i won't hurt u,1
did you get real wet?,1
think you would make me feel good?,1
you  wait that if you  let me lick your pussy your going to love it cause i have my tongue pierce,1
hey there pay phones,1
no i was just talkin to dad and she hates him,1
so i know is you,1
no not no more,1
i want a dig cam,1
i am back are u,1
or you would tonight huh?,1
then i don't have to worry about gettin in trouble,1
do you have to work?,1
don't be shy,1
you can drive by but i can't come out because my moms home,1
i gues my house nobody here can we talk first,1
i jus want to meet and mess around,1
i i am nice and i can be nicer you,1
so you want me to do that to you baby,1
you can't call though because  my mom,1
if you let me do it i we will do it gentle,1
who is home with you  now,1
if you promise it won't hurt,1
laugh ok so what do you look like ?,1
you  know what your just a little girl so bye,1
I can find it,1
are you a cop?,1
i don't know when she is leaving,1
do you shave???,1
i sure did and i am going to have a better one when your with me making love baby,1
because  i want to rub my fingeare between your lips down there,1
ever slid anything in there?,1
you  are right baby,1
you have a cam,1
when mom get off work,1
use your  instinct,1
she is goin out of town in jan so may be we can meet then,1
i just want to hear your  voice is all,1
so you  have hair down there,1
i will check back here later to be sure you can meet me. i am not sure what i am gonna wear yet but i will let you no later probably just jeans or something,1
let me see where my parents are,1
i don't want to get you  into trouble,1
but i can't really do it this week,1
i work as a painter and in a werehouse,1
so how long we will your  parents be gone?,1
but i don't have a pic,1
you are not going to get in trouble,1
yes I we will be here,1
i do want to meet u,1
of course baby i we will do it real gentle,1
your  suppoesd to take charge,1
anytime you wanted to,1
i find you so attractive,1
ok i trust you,1
i told you all my stuff laugh,1
when do you want to ??,1
do you still will love me,1
ok let me know if we meet before,1
i am lookin now,1
did you see it?,1
may be i won't be as nervous,1
i just feel bad adn i am scared you will be gone when i come back,1
what time you want to see me,1
so wait   you live with your stepmom?,1
like me on top?,1
for the cops,1
in my room yes,1
 have sex?,1
i thought you loved me but i guess not if you won't wait,1
i like your voice ,1
 i don't mind the drive at all ,1
laugh meaning that a guy likes to know what a girl is wearing,1
do you want to talk online before you come tommorw,1
i was expecting my face to have five finger marks across my face,1
yes i know but does it have hair now,1
have you  fucked yet,1
way better than your  old one,1
hey but can see each othere in the store close to your house before she live,1
your  very cute,1
love you to,1
anything you  want to do,1
if i invited you  over would they let you  go,1
do you have an accent,1
yeah but i don't want to be bored laugh,1
but you can't miss a drop,1
you were bein kinda wierd last night,1
what about cops???,1
 cause guys are very visual and they like that kind of stuff ,1
can't wait to see that,1
Instant Images invitation canceled.,1
cause is sounds weird,1
i am not sure which is better?,1
so describe you are self,1
" be right back , got to go potty",1
" so, how much have you  done",1
think its possible?,1
you will get the hang of it real fast,1
are you there?,1
"going to get a massage,hopfully",1
itd be your first time,1
she is a good mom,1
how bad do you want to on a scale of 1 10?,1
see you on here at for,1
" very nice , are they long?",1
you develop a taste,1
when's the last time you had a drink?,1
yes or your afraid,1
so you will be outside,1
yeah I know that but i have to find out how to get there laugh,1
ok hey if i am not on later tell me what are you  going to be wearing,1
omg how did you  know that?,1
if you do you know what else you will get don't you?,1
did i buzz you?,1
what kinda shorts?,1
cause of your  age,1
" so, are you  ready",1
yeah sounds great,1
one is a pink see through top very sexy,1
what time are you  going to be home?,1
so name a place to meet,1
what time do you think you will be here?,1
you don't even really no me,1
you like those?,1
god that would drive me crazy,1
you don't remember how old i told you i was,1
what do you wnat me to wear,1
i am sorry i just don't want to get in trouble,1
but if you're by your self it's ok,1
so my mesages were that you  can call me anytime now that you have my number and that I wanted you to email me whenever (Anytime! Whenever! you  heard the man!),1
i we will get in trouble so be sure you don't,1
since you don't want to meet me,1
did you  click it,1
so how tall are you ? and what do you weigh ?,1
oh ok just walk in,1
i know but like what alse would you  like to do if we like each other,1
if i don't what?,1
he don't livehere,1
or this friday,1
do you no where that is,1
i was asking when your  birthday was to see what sign your,1
i can't stay on long i can,1
i need to call you remember?,1
may be i can but i don't want to get in trouble,1
never in person?,1
nope you gonna stand me up?,1
lean you  up against a tree and kiss you  for a long time,1
I like you ,1
see your mom is looking out for you  and don't want you  to get with guys like me,1
"dude this is a lonf drive,if any thing comes up that you  have to shine call me ok",1
how you  are going to cut you are self,1
you dated a white girl bfor,1
i live in the mira loma area,1
my moms on vactian to,1
send me the link to see your pic,1
oh kewl ok,1
gray shorts and white tank,1
i relly can't this week,1
am i gonna be in trouble,1
well we been talking for a while so i don't see a problem,1
maybe tie you  to your bed ha ha,1
wonderin what you  wearing,1
i want you to scream,1
what city do you  live in,1
 your  so swweet,1
except for ceilings because i am to short laugh,1
i am serious sexy,1
how close are you  neighbors,1
afraid of doing it?,1
you can be on top put in what you need,1
do you have a special razor or is mine ok,1
k just wondering don't get testy laugh,1
did he get in them at all?,1
laugh i hop i don't cut myself,1
we could mom is working this weekend,1
probably not since you don't see them all the time duh,1
tomorrow laugh oh yeah you probably saw my moms bfs care he drives a black truck,1
hi mike were are u,1
luv you mike,1
most of the girls in Utah have lost theres by that age,1
that is why i am saying we are so close,1
would you meet?,1
what are you nervous about,1
hehehe your  right,1
you made me wait all weekend,1
shoot my mom just got home,1
i kinda wish i cud but i am scared of gettin caugt,1
do you want it? yes or no,1
I was thinking your room,1
was his hand in your  s?,1
what are you  going to do with it???,1
i don't know we can do othere stuff i gess,1
laugh kinda late,1
you i think so,1
do the tight jeans,1
i kept hoping you'd come online and come over,1
it's better that way,1
when i see u,1
we can meet in a store,1
well i am just going to drive around like if i am looking for a adrees is not like if i am going to get of the car,1
you  have boyfriend,1
and return SUN afternoon,1
the one that is across from pizzeria uno,1
i will tell you before you come ok,1
I was pic the baby was you,1
think about me licking your pussy ok sexy,1
press your  buttons,1
can't you wait a little while,1
i like them,1
i promise i won't mention it,1
you can play wid my joystick ,1
put baby oil all over it and do it,1
I am from utah,1
resting my small brain,1
so you  don't mind go out with me then,1
can you  dish from school one day baby,1
now i'm having second thoughts,1
" yeah we can like drink a little, chat a little, and flirt and mack a little",1
my real names katie samantha meyers,1
if your worried id say no,1
what you  mean by 80,1
ok i am calling,1
i see them now,1
yes i we will talk to you later,1
so i guess i won't no if your  80 until i see you,1
you want to hear mine to huh,1
that we will be your choice baby where do you want to feel my tongue ring baby so you  tell me,1
what you  want to know,1
not this week,1
i am to shy,1
whats your  work like,1
i don't want you to call me,1
why he did not like it do,1
well I mean do you want to talk to an older guy,1
I hope to hear your voice later,1
 want to have some fun?,1
now you too are living,1
you would love it,1
" so, you  want to do it",1
my mom wil find out,1
not afraid to do that?,1
what about the phone,1
y did you buzz me,1
so you doing anything fun tonight?,1
i have a myspace,1
you realy want to???,1
like what age?,1
in the valley,1
if you  know what i mean,1
" Xavieare (Yes, I know.)",1
ahh i am sorry,1
or even nuthin is fine too,1
tats pretty werid isnt it,1
I would love to slide my tongue in your mouth,1
cool I love cats laugh,1
to arrest the guy,1
do you like it like that,1
if that makes any sense,1
call me that morning or a few hours before,1
I think I did   a little anyway laugh,1
" well, just look for me tomorrow",1
therefore if you  had a car,1
" you  are way to young for me, I just like to talk ",1
maybe bend your legs up and byoury my face between your legs,1
that is funny bro,1
omg how kewl,1
k be there in 15,1
have been whit a guy sexually,1
do you remember you were gonna help me with or do you not relly remember,1
you going to tell me how to get there???,1
and I did not know that she was 1for she looked 18 and was cute and qute developed(Did you ask?),1
you  want to fell my dick inside your pussy,1
can you meet me on tuesday,1
or we can do dawgy style,1
after all first time,1
i am excited to,1
i can show you one if you do,1
on my myspce,1
anyone home with you,1
anyone with you,1
if you want me to,1
you really want to don't you?,1
makes me sad,1
have have sex in your pussy(thanks for clarifying),1
jus don't fell comforitable in your  house,1
were are u,1
it may hurt people,1
what about me???,1
i know what i say,1
 kewl ,1
so i we will  leave my house like around ,1
yes but like around 8,1
go ther get a box of rubbers,1
I am sure I can look it up,1
but my parents are home,1
was waiting for you  ,1
did you  tell your friends about oyour  talk last night,1
so how are you in the comp,1
are you busy,1
" I guess , I work for the city I am a caterer",1
so what kinda work do you do,1
are you smiling ???,1
i told u,1
ok if i am not here though call,1
i know that is why i am saying if you want to feel more then just a lick sexy,1
oh next week,1
"eew,icky ",1
did it excite you?,1
i am sorry she was getting mad,1
i am not sure if me and here are gonna go visit my grandma next week,1
to your  house,1
i  might go to work half day not sure yet,1
you but where???,1
so what you doing later,1
omg i need to no what your  wearin to so i no u,1
i am kinda tired,1
"you  wrer top on my list last night,laugh",1
so i guess you made out with a guy before then ,1
if you want too be with me,1
i don't want to go to jail,1
you did not leave me any offlines so i guess you don't want to meet me anymore,1
me lookin older,1
do you have any kids,1
how big are you  fingers,1
she is gonna be gone all weekend,1
how we will you know me?,1
no y would i do that,1
 you don't think I am to forward do you,1
like what kind of accent you  think i have baby,1
and you remember what we where talking about yesterday,1
hey jess you have cam?,1
we don't need to do that,1
get your work done?,1
i we will  keep you from going insane being by your  self,1
I could always meet you  somewhere sometime,1
