text,labels
"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala.",0
it's tough not having a car,1
i we will have to try it,1
gonna call me?,1
can we have sex,1
 George Peppard died :(,0
I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,0
did your  bf slide his thing in your  Pussy,1
"K I'll head out in a few mins, see you there",0
Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,0
do you think i can?,1
Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see,0
do the guys play with you  at school,1
Do you enjoy it?,1
send me pics,1
you  were soooo beautiful,1
The evo. I just had to download flash. Jealous?,0
i just want you  to get excited baby,1
Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,0
i will do it 5 times a day if i got time with you  in person,1
i dnt wnt to tlk wid u,0
do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................,0
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,0
Ambrith..madurai..met u in arun dha marrge..remembr?,0
Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,0
have you every play with your self,1
you stood me up,1
MSNBC is still reporting he needs 11 delegates?,0
Ok... I din get ur msg...,0
But really quite funny lor wat... Then u shd haf run shorter distance wat...,0
Umma my life and vava umma love you lot dear,0
wish i had you  in my arms right now,1
have you  ever made out with anyone before???,1
i think i  might just go to bed now,1
Ghost Ship.    The opening sequence was the only enjoyable part of that film.,0
Thats cool. i liked your photos. You are very sexy!,0
what are you doing for christmas,1
"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",0
Hello! Good week? Fancy a drink or something later?,0
Must come later.. I normally bathe him in da afternoon mah..,0
No dear i was sleeping :-P,0
  Thanks,0
hey i am getting off now,1
Yeah sure I'll leave in a min,0
do you think its gonna hurt? i heard it does sometimes,1
what places on your body turn you  on?,1
 The only thing good about the ending to Citizen Kane is that it ended: boring. The credits are the highlight of the film.,0
yea guys keep askin that to,1
may be a little when you keep pushin to meet so soon,1
you  look young,1
what are your tyourn ons?,1
  He just lost my vote.  dammit!,0
 Have you seen your face?,0
"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",0
These won't do. Have to move on to morphine,0
when i come over we will you  be naked for me,1
I just have to say that is the coolest freaking kids costume EVER. Although it looks like he had a bit too much milk plus.,0
oh can you do the kiss,1
not a good idea,1
You still coming tonight?,0
Horrible gal. Me in sch doing some stuff. How come u got mc?,0
"13 sweet,i want to see a pic,not nude just a pic,laugh(13 sweet??? WTF. This guy is really a predator.)",1
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0
i am a good kisser,1
would you  let me see,1
but don't drink beer,1
cause I am cyourious (blushing emoticon),1
i like them,1
  Interesting.  http://www.imdb.com/title/tt1235124/,0
 Would not happen with how much Star s ask to do voices for movie characters he would not make that much money. and besides who would they get that has't sickend you already.,0
"   I hope not. It's a great game and all,but I'd rather see a movie based on something after ROTJ. Enough of the Clone Wars and anything between the existing movies. Give us something new for a change.",0
so are you  tight?,1
tell me what you  would like it seems like you  want to do something else with me,1
There is a first time for everything :),0
we will you be waiting for me outside,1
No my mum went 2 dentist.,0
omg i am so excited!,1
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,0
mike i hope you come online to night i need to know if i should go to the mall,1
I was just callin to say hi. Take care bruv!,0
Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,0
What happened to our yo date?,0
 Jessica Simpson,0
"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",0
Tell rob to mack his gf in the theater,0
"For a long time I thought it was a gateway to hell, or something along those lines. But that was mostly due to the fact that the combination to the briefcase appeared to be ""666"" and when opened, it glowed orange/yellow/gold colors, resembling the colors of fire. That's wrong though I'm sure. I like the theory of Marcellus' soul",0
Have you seen who's back at Holby?!,0
get ready to moan and scream :),0
BLOW!,0
Just finished. Missing you plenty,0
Hi. Hope you had a good day. Have a better night.,0
Id have to check but there's only like 1 bowls worth left,0
your mom work nights anytime this week,1
no that is good that means you  like me,1
Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,0
ok. I am a gentleman and will treat you with dignity and respect.,0
well once you get on it you  would get used to it,1
I am taking you for italian food. How about a pretty dress with no panties? :),0
" i work in L.A., in the Brentwood area by UCLA (Hey! Do you  know OJ? )",1
You still at grand prix?,0
You do your studies alone without anyones help. If you cant no need to study.,0
Mm i am on the way to railway,0
by moaning on the phone for me,1
did you see my pic,1
"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",0
"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u..",0
you  have a web cam?,1
It is a good thing I'm now getting the connection to bw,0
" you  tell me honey ok, yes or no",1
thinking about what?,1
do you really want to see me this weekend,1
1.Pulp Fiction  2.Point Break  3.Falling Down,0
what you drink,1
" damn babe, i need to go for a bit, need to get some food",1
I'm freezing and craving ice. Fml,0
Yes. Rent is very expensive so its the way we save.,0
When're you guys getting back? G said you were thinking about not staying for mcr,0
"you  don't mind if i rub your p,,y",1
i want to see you too,1
I am from utah,1
"Hm good morning, headache anyone? :-)",0
"My So Called Life...God, I loved that show.... on second thought...cancel that...They'd kill it... Wiseguy with Ke Wahl...the first season would make a great movie...too bad Ray Sharkey is dead...he was phenomenal in that show",0
so i can c if your  nice,1
I think you should have a license to breed. Overpopulation is the biggest contributing factor the Global warming and International instability.,0
No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),0
Thank you. do you generally date the brothas?,0
and i went to emmaus high school,1
i think your  a sweet hot cool guy,1
not right now,1
If you saw me in real life you would run the other way!,0
We can go 4 e normal pilates after our intro...  ,0
"Merry Christmas to you too babe, i love ya *kisses*",0
whas the biggest dick you have,1
yes baby is me did you  get all my messages,1
no i just like bikeare leathers,1
"Ya, told..she was asking wats matter?",0
Ah picture's not coming up :(,0
"Drama, Drama and Drama is what happens @ CSULB. I've put up with it so long now! Time to move on.",0
i we will be on my best behavior,1
Are you angry with me. What happen dear,0
Howz pain.it will come down today.do as i said ystrday.ice and medicine.,0
"Damn little freshman. The Beach is where it's at. You're probably not having a good time and think it's too much like high school cuz you're only stickin too your little high school friends. You're in college now, get out there and meet people! In other words...grow up!",0
baby i got to min left,1
you  think about me alot,1
I didnt get anything da,0
it felt good,1
Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,0
We don call like  &lt;#&gt;  times oh. No give us hypertension oh.,0
i trust you,1
"No, I don't like that ending. Come up with something better and report back later.",0
"Not for possession, especially not first offense",0
Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,0
I will come with karnan car. Please wait till 6pm will directly goto doctor.,0
well i got to go now,1
are you  excited about sex now,1
cause i can get in trouble,1
" well i'd only say nice things to you, and try to think about what you  like and what makes you  happy",1
"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",0
No. I.ll meet you in the library,0
" #1. It's called freedom of speech. #2.ÃÂ  If I vote for a candidate and he turns into a huge douchebag do I still have grounds to complain? (e.g. Bush) #3.ÃÂ  If you think every candidate sucks ass and none of them are worthy of your vote you get more respect from me than if you vote for the person that sucks the least [out of the top 2 parties because you think a 3rd party vote is a wasted vote]. #4.ÃÂ  They're taking your money, they're running your lives.ÃÂ  You ALWAYS have the right to complain.",0
did he cover that rehab song?,0
probably we will then,1
You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,0
Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,0
they must look nice on you,1
 Only?!,0
but he said what it was,1
10 min later k...,0
what you thinking,1
nice warm lotion all over your body,1
I got me a little 125cc bike at the moment. I put £5 in it and it does 100 miles or so.  I use it instead of my car at the moment. The car does 100 miles on about £14.  I think the future is mopeds.,0
how long we will you have?,1
"Yes obviously, but you are the eggs-pert and the potato headÛ_ Speak soon! ",0
45 man cream pie.... that hoe didnt see it cuming lol,0
"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",0
now if i was to take your virginity where would it happen at?,1
Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!,0
that is messed up,1
Yup having my lunch buffet now.. U eat already?,0
i love to pain,1
i could come over after work to fuck you  tomorrow night,1
(That said can you text him one more time?),0
i mean in naughty way,1
You should get more chicken broth if you want ramen unless there's some I don't know about,0
I like to make you  smile,1
i like that,1
We'll you pay over like  &lt;#&gt; yrs so its not too difficult,0
yeah that sounds nice,1
is it big?,1
Go fool dont cheat others ok,0
neithere can i,1
You call him and tell now infront of them. Call him now.,0
what is the link,1
yes i do have kids and i see them avery two weeks,1
 that one I saw ;),0
you  like being held,1
" Lol, it's odd to see a righty from Boston! Good for you, man, for not succumbing to the left wing!",0
did you suck your  ex's cock before ?,1
I unshap your bra and let it fall to the floor,1
cause i am going to ask for you  and give you  a kiss,1
  Source? I will not accept your ass as a source.,0
How are you doing. How's the queen. Are you going for the royal wedding,0
Ok enjoy . R u there in home.,0
So lets make it saturday or monday as per convenience.,0
"It's the system that is at fault here. Even if they come forward, there's a good chance it wouldn't have made a difference. Having said that, however, had it been me, I would have went to the judge and DA and told what I know and given up the license. At least, maybe, the verdict could have been overturned. Only maybe, but worth a shot. Even if they didn't give up their client, just said that someone else confessed to the crime. What I don't get is why they didn't do it after their client got convicted. He was done for anyway.",0
would you be worried about getting pregnant?,1
and your neighbhors they are not going to know when i get there,1
can wait for what baby,1
wish you are here,1
You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,0
X2  &lt;#&gt; . Are you going to get that,0
so do you want me to come over and bring the drinks,1
Finish already... Yar they keep saying i mushy... I so embarrassed ok...,0
how big are your tits baby,1
Jason says it's cool if we pick some up from his place in like an hour,0
does your mom bring guys home,1
we will you  give me a blowjob too,1
Hey. You got any mail?,0
missionary or doggy,1
to finally meet u,1
Will Ì_ b going to esplanade fr home?,0
Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,0
"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx",0
ok what time is she living,1
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,0
your mom sleeping,1
"""just the pits""  Was that an intentional pun?",0
Yeah whatever lol,0
Have a nice day my dear.,0
Pls dont forget to study,0
darn i got to go my moms callin me,1
" what if he just brougth you  to the beach, and lay down on a blanket with you, holding you  just watching the sun set ",1
i have an umbrella,1
it always heppens that way,1
Good question...  ,0
U attend ur driving lesson how many times a wk n which day?,0
my tongue up inside you,1
"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",0
don't go away,1
"Yeah, don't go to bed, I'll be back before midnight",0
"   The President of the United States, is the most powerful man on the planet.  He can erase, COUNTRIES, with a word.  Im just glad Barack X has so much experience.  Now I know, I can trust him.",0
"Yeah why not, is the gang all ready",0
No. To be nosy I guess. Idk am I over reacting if I'm freaked?,0
Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming,0
Whens your radio show?,0
"  The American people chose Obama. And don't come here giving me that ""Hillary had the popular vote"" bullshit. The only reason she had slightly more popular votes then Obama was because his name wasn't on the ballot in Michigan when hers was. lol@Clinton and her dumb supporters wanting those votes to count.",0
"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",0
so when mom get home?,1
ÌÏ thk of wat to eat tonight.,0
to see if your mad at me i have not talked to all day,1
Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .,0
Ding me on ya break fassyole! Blacko from londn,0
 You are in an EXTREME minority here. Most people loved the ending to The Mist.,0
you  problably havn't had sex before,1
"no babe ,i am clean",1
LOLz...mine would have made us write essays then go do extra math :/,0
i will give it 11 years,1
Captain vijaykanth is doing comedy in captain tv..he is drunken :),0
Yep. I do like the pink furniture tho.,0
Don no da:)whats you plan?,0
No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,0
Really good:)dhanush rocks once again:),0
we go to a motel,1
what time is that,1
"    The first American Flag was sown of hemp, and the original draft of the Constitution was written on Hemp paper.",0
can i ask you something then what turns you on about a older guy,1
You flippin your shit yet?,0
Hey what are you doing. Y no reply pa..,0
you  ever touch you are self?,1
your pussy soaked?,1
Oh sorry please its over,0
you will be happy if i did?,1
I'm home.,0
Hey we can go jazz power yoga hip hop kb and yogasana ,0
lol Pippi is the shit.  I got mad old VHS tapes of Emil and those other lames,0
eat my sperm?,1
  Then you must be stupid . .cause you don't read what you are posting to  . . . Â you responded to this post an hour before you responded to mineÂ  . . .XP,0
"And how you will do that, princess? :)",0
Can you believe there is still gonna be something that is gonna happen in the movie forum in 5 days?,0
"  I'm not a mortgage lender but if I was an unethical lender I would write you a zero down ARM with a great teaser rate just to get you into the mortgage because I know I can sell this arm loan off to Fannie and Freddie and I don't have to eat it when you default.  I didn't really care what your income was, is, or could be because my profit is coming when I sell the mortgage off.  Essentially, my risk is minimal because it is assumed by Fannie and Freddie. I make easy profits because I do not have to keep bad mortgages on my books.",0
oh do you  shave your pussy at all?,1
so you  won't get me in trouble for fucking your ass really hard then right? laugh,1
"  Well of course it is, but I'm saying that that other dude is blowing it wayy out of proportion. Its not like every country on earth is perfect.",0
how old are you?,1
I'd make love to you  on Cocoa Beach,1
"haha, im taken lol",0
maybe we we will see,1
* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,0
"Yes, a lot of new movies are garbage. A lot of old movies are also garbage. There has always been garbage and there will always be garbage. Still, some really good movies are being made. It's just that most people don't bother to go see them. Because they are FOREIGN. *shocking* That said, a lot of foreign films are also garbage. :lol:",0
so tell me when do you  want to do this,1
he cuts her skin off and wears it while touching himself.,0
Yar lor... How u noe? U used dat route too?,0
Well I'm going to be an aunty!,0
Pls speak to that customer machan.,0
   why was his post insane?  Speak now I demand it!,0
LOL what happens in Vegas stays in vegas,0
"  Interesting to see some of the pundits tackling the issue head on, that can only be a good thing.",0
can you  see it,1
Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip,0
o cool! we go there sometimes!,1
Love you aathi..love u lot..,0
i guess but i am using up all my callin card mins laugh,1
Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!,0
did you  get my photo,1
Ok... But bag again..,0
i was hopin if you did you still will saw thenm,1
