,text,labels
112,It wont b until 215 as trying 2 sort house out is that ok,0
113,O Guess they both got screwd,0
114,but you  must know what you  want to try,1
115,so you  dont know  what moaning would be like,1
116,Theoretically yeah he could be able to come,0
117,Sorry Ill call later in meeting,0
118,  Right here Awesome ending    Also Se7en,0
119,Tension ahwhat machiany problem,0
120,i dont want to get in trouble when it would be so easy when she is gone,1
121,you like it,1
122,well have to see were you  fit best,1
123,how is my pussy,1
124,Thats what Im saying Theres no respect in that relationship So how can they be equal,0
125,i dont want you to call me,1
126,you  name the place,1
127,not to far from the bowling alley,1
128,My birthday is on feb  ltgt  da ,0
129,when mom get off work,1
130,Dear reached railway What happen to you,0
131, i am GONNA CUMM NOWON your ASSOKBABY,1
132,you  home alone,1
133,i love your  lips,1
134,so have you  been thinking about me,1
135,Aiyo u so poor thing Then u dun wan 2 eat U bathe already,0
136,well id be really nice to you,1
137,just ask me,1
138,Ok is any problem to u frm him Wats matter,0
139,party with me for the weekend,1
140,I want what you  want,1
141,I hope you know Im still mad at you,0
142,5 nightsWe nt staying at port step liaoToo ex,0
143,  Wait the Iraqis most of them want the US to leave  And most US troops think Iraq is a lost cause  But you want more death  Wow youre pretty damn hateful,0
144,You said not now No problem When you can Let me know,0
145,Even my brother is not like to speak with me They treat me like aids patent,0
146,You mean like North Korea Came Clean,0
147,kick here ass out  laugh,1
148,still will want to hook up,1
149,let me know if i can meet you before,1
150,Do u hav any frnd by name ashwini in ur college,0
151,you could get me in trouble laughyou  got you are self in trouble Luckily Im a contributor for Perverted Justice instead of a real kid,1
152,Thats the trouble with classes that go well  youre due a dodgey one  Expecting mine tomo See you for recovery same time same place ,0
153,hey can you  call now just for a sec,1
154,makes me sad,1
155, Can and will have two completely different meanings,0
156,sure if you want me to,1
157,Yup i thk cine is better cos no need 2 go down 2 plaza mah,0
158,i will look at the one close to the parking lot,1
159,go down on you  heheh,1
160,Yes da Any plm at ur office,0
161,Usually the body takes care of it buy making sure it doesnt progress Can we pls continue this talk on saturday,0
162,2 and half years i missed your friendship,0
163, I wouldnt have said it at all but you went after Americans Oh and you also came to the defense of a liberal,0
164, no but like when a chick get fucked in the ass it can hurt really bad sometimes,1
165,Love it,0
166,i wish you had some more,1
167,but i we will  be back on later,1
168,just give me the address when you  can,1
169,i am not sure i think like the first or second week,1
170,  No blacks were not given access to credit and property in the manner that whites were due to racism In the 60s many black neighborhoods were destroyed to make the interstate highway system the replacement was high density public housing In 68 when king died blacks destroyed their own commercial centers but these were OWNED by whites and rented to blacks That was part of the anger to this day most of these places are still just as they were after the riots In combination with the drugs that were imported into the cities by Regean to destroy the black pride movement these things destroyed confidence and morale in the black community causing them to blame the man Most of the children from the 70s grew up to be either cynical adults or backstabbers to the ppl they left behind when they made it like Barrack and Michelle Obama,0
171,Prakesh is there know,0
172,I work 7 3,1
173,but I dpnt want hurt u,1
174,  exactly actualy they could have killed this guy the way they did it dead prisoners make for lousy information,0
175,Yes ammaelife takes lot of turns you can only sit and try to hold the steering,0
176,Im in office now dawhere are you,0
177,Arngd marriage is while u r walkin unfortuntly a snake bites u bt love marriage is dancing in frnt of d snake amp sayin Bite me bite me,0
178,you  we will be alone this weekend,1
179,  The insanity is just too much in that post sorry,0
180,you  still will want to hang out tomorrow,1
181,Hello my little party animal I just thought Id buzz you as you were with your friends grins Reminding you were loved and send a naughty adoring kiss,0
182,Yeshe have good crickiting mind,0
183,Fuck babe  What happened to you  How come you never came back,0
184,  What movies has he been in Thats pretty much your answer Paul Walker is an insignificant piece of bark,0
185,you  really want to have sex dont you,1
186,fightng game or something,1
187,laugh i guess i think i  might next time,1
188,Every day i use to sleep after  ltgt  so only,0
189,you  like a guy to pyou will out and cum on you,1
190,I know that but I can visualize it cant I laugh,1
191,I dont have anybodys number I still havent thought up a tactful way to ask alex,0
192,Maybe not but he was sexier than the others  LOL,0
193, say what is your adress,1
194,do you want us to have sex c,1
195,Dude got a haircut Now its breezy up there,0
196,No prob I will send to your email,0
197,so what kinda boyfriend you like,1
198,if your  e worried about that you best not,1
199,Hey you can pay With salary de Only  ltgt ,0
200,Thanx,0
201,  youre not saying that because shes one of the few people that can play soccer and not get called penalties for using her hands right,0
202,I want pics of you  with no bra and an unbuttoned shirt,1
203,your concern about me,1
204,   as you said the end of the world AS WE KNOW IT isnt that just great Im a make sure Im in an area without many people and with lots of edible vegetation  cant wait ,0
205,  I wouldnt say that Since 2000 he has worked on almost 140 projects Thats almost 18 projects a year,0
206,It has issues right now Ill fix for her by tomorrow,0
207,durian,0
208,Yeah I can still give you a ride,0
209,probably hug u,1
210,would you insist he use a condom,1
211,Damn can you make it tonight or do you want to just wait til tomorrow,0
212,are we going to have sex alot,1
213,i got stamina hehehe,1
214,Any kind of berries,0
215,I will treasure every moment we spend together,0
216,hooking up with u,1
217,  Yeah 70 is considered retarted,0
218,It vl bcum more difficult,0
219,do you have to work,1
220,i see When we finish we have loads of loans to pay,0
221,so i go on the 15 fwy and where do i get off sexy,1
222,i cant figure out what you think about me,1
223,K my roommate also wants a dubsack and another friend may also want some so plan on bringing extra Ill tell you when they know for sure,0
224,your  hot though,1
225,do me a favor,1
226,Is xy going 4 e lunch,0
227,how if I was gone before she got home,1
228, No Its personal choice Your health unless it effects society as in something highly contagious is a personal decision It doesnt matter if you base your chgoice on a fortune cookie Its your life,0
229,i am going to tyourn it off now,1
230,and forever that is,1
231,wet dreams Romantic,1
232,kewl i like trunks,1
233,Lol  I really need to remember to eat when Im drinking but I do appreciate you keeping me company that night babe smiles,0
234,Madamregret disturbancemight receive a reference check from DLF Premaricakindly be informedRgdsRakheshKerala,0
235,its tough not having a car,1
236,i we will have to try it,1
237,gonna call me,1
238,can we have sex,1
239, George Peppard died ,0
240,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  ltgt day return period ended,0
241,did your  bf slide his thing in your  Pussy,1
242,K Ill head out in a few mins see you there,0
243,Hello boytoy  Geeee  Im missing you today I like to send you a tm and remind you Im thinking of you  And you are loved  loving kiss,0
244,do you think i can,1
245,Gain the rights of a wifedont demand iti am trying as husband tooLets see,0
246,do the guys play with you  at school,1
247,Do you enjoy it,1
248,send me pics,1
249,you  were soooo beautiful,1
250,The evo I just had to download flash Jealous,0
251,i just want you  to get excited baby,1
252,Sorry dai was thought of calling you lot of timeslil busyi will call you at noon,0
253,i will do it 5 times a day if i got time with you  in person,1
254,i dnt wnt to tlk wid u,0
255,do u think that any girl will propose u today by seing ur bloody funky shit fucking faceasssssholeeee,0
256,Its a valentine game   Send dis msg to all ur friends  If 5 answers r d same then someone really loves u Ques which colour suits me the bestrply me,0
257,Ambrithmaduraimet u in arun dha marrgeremembr,0
258,Are we doing the norm tomorrow I finish just a 415 cos of st tests Need to sort library stuff out at some point tomo  got letter from today  access til end march so i better get move on,0
259,have you every play with your self,1
260,you stood me up,1
261,MSNBC is still reporting he needs 11 delegates,0
262,Ok I din get ur msg,0
263,But really quite funny lor wat Then u shd haf run shorter distance wat,0
264,Umma my life and vava umma love you lot dear,0
265,wish i had you  in my arms right now,1
266,have you  ever made out with anyone before,1
267,i think i  might just go to bed now,1
268,Ghost Ship    The opening sequence was the only enjoyable part of that film,0
269,Thats cool i liked your photos You are very sexy,0
270,what are you doing for christmas,1
271,What do you do my dog  Must I always wait till the end of your day to have word from you  Did you run out of time on your cell already,0
272,Hello Good week Fancy a drink or something later,0
273,Must come later I normally bathe him in da afternoon mah,0
274,No dear i was sleeping P,0
275,  Thanks,0
276,hey i am getting off now,1
277,Yeah sure Ill leave in a min,0
278,do you think its gonna hurt i heard it does sometimes,1
279,what places on your body turn you  on,1
280, The only thing good about the ending to Citizen Kane is that it ended boring The credits are the highlight of the film,0
281,yea guys keep askin that to,1
282,may be a little when you keep pushin to meet so soon,1
283,you  look young,1
284,what are your tyourn ons,1
285,  He just lost my vote  dammit,0
286, Have you seen your face,0
287,Hi ShanilRakhesh herethanksi have exchanged the uncut diamond stuffleaving back Excellent service by Dino and Prem,0
288,These wont do Have to move on to morphine,0
289,when i come over we will you  be naked for me,1
290,I just have to say that is the coolest freaking kids costume EVER Although it looks like he had a bit too much milk plus,0
291,oh can you do the kiss,1
292,not a good idea,1
293,You still coming tonight,0
294,Horrible gal Me in sch doing some stuff How come u got mc,0
295,13 sweeti want to see a picnot nude just a piclaugh13 sweet WTF This guy is really a predator,1
296,Ummmawill call after check inour life will begin from qatar so pls pray very hard,0
297,i am a good kisser,1
298,would you  let me see,1
299,but dont drink beer,1
300,cause I am cyourious blushing emoticon,1
301,i like them,1
302,  Interesting  httpwwwimdbcomtitlett1235124,0
303, Would not happen with how much Star s ask to do voices for movie characters he would not make that much money and besides who would they get that hast sickend you already,0
304,   I hope not Its a great game and allbut Id rather see a movie based on something after ROTJ Enough of the Clone Wars and anything between the existing movies Give us something new for a change,0
305,so are you  tight,1
306,tell me what you  would like it seems like you  want to do something else with me,1
307,There is a first time for everything ,0
308,we will you be waiting for me outside,1
309,No my mum went 2 dentist,0
310,omg i am so excited,1
311,Was gr8 to see that message So when r u leaving Congrats dear What school and wat r ur plans,0
312,mike i hope you come online to night i need to know if i should go to the mall,1
313,I was just callin to say hi Take care bruv,0
314,Stop calling everyone saying I might have cancer My throat hurts to talk I cant be answering everyones calls If I get one more call Im not babysitting on Monday,0
315,What happened to our yo date,0
316, Jessica Simpson,0
317,Sorry vikky im Watching olave mandara movie kano in trishul theatre wit my frnds,0
318,Tell rob to mack his gf in the theater,0
319,For a long time I thought it was a gateway to hell or something along those lines But that was mostly due to the fact that the combination to the briefcase appeared to be 666 and when opened it glowed orangeyellowgold colors resembling the colors of fire Thats wrong though Im sure I like the theory of Marcellus soul,0
320,Have you seen whos back at Holby,0
321,get ready to moan and scream ,0
322,BLOW,0
323,Just finished Missing you plenty,0
324,Hi Hope you had a good day Have a better night,0
325,Id have to check but theres only like 1 bowls worth left,0
326,your mom work nights anytime this week,1
327,no that is good that means you  like me,1
328,Lul im gettin some juicy gossip at the hospital Two nurses are talking about how fat they are gettin And one thinks shes obese Oyea,0
329,ok I am a gentleman and will treat you with dignity and respect,0
330,well once you get on it you  would get used to it,1
331,I am taking you for italian food How about a pretty dress with no panties ,0
332, i work in LA in the Brentwood area by UCLA Hey Do you  know OJ ,1
333,You still at grand prix,0
334,You do your studies alone without anyones help If you cant no need to study,0
335,Mm i am on the way to railway,0
336,by moaning on the phone for me,1
337,did you see my pic,1
338,My fri ah Okie lorgoin 4 my drivin den go shoppin after tt,0
339,Not yet chikkuk then wat abt tht guy did he stopped irritating or msging to u,0
340,you  have a web cam,1
341,It is a good thing Im now getting the connection to bw,0
342, you  tell me honey ok yes or no,1
343,thinking about what,1
344,do you really want to see me this weekend,1
345,1Pulp Fiction  2Point Break  3Falling Down,0
346,what you drink,1
347, damn babe i need to go for a bit need to get some food,1
348,Im freezing and craving ice Fml,0
349,Yes Rent is very expensive so its the way we save,0
350,Whenre you guys getting back G said you were thinking about not staying for mcr,0
351,you  dont mind if i rub your py,1
352,i want to see you too,1
353,I am from utah,1
354,Hm good morning headache anyone ,0
355,My So Called LifeGod I loved that show on second thoughtcancel thatTheyd kill it Wiseguy with Ke Wahlthe first season would make a great movietoo bad Ray Sharkey is deadhe was phenomenal in that show,0
356,so i can c if your  nice,1
357,I think you should have a license to breed Overpopulation is the biggest contributing factor the Global warming and International instability,0
358,No we sell it all so well have tons if coins Then sell our coins to someone thru paypal Voila Money back in life pockets,0
359,Thank you do you generally date the brothas,0
360,and i went to emmaus high school,1
361,i think your  a sweet hot cool guy,1
362,not right now,1
363,If you saw me in real life you would run the other way,0
364,We can go 4 e normal pilates after our intro  ,0
365,Merry Christmas to you too babe i love ya kisses,0
366,whas the biggest dick you have,1
367,yes baby is me did you  get all my messages,1
368,no i just like bikeare leathers,1
369,Ya toldshe was asking wats matter,0
370,Ah pictures not coming up ,0
371,Drama Drama and Drama is what happens  CSULB Ive put up with it so long now Time to move on,0
372,i we will be on my best behavior,1
373,Are you angry with me What happen dear,0
374,Howz painit will come down todaydo as i said ystrdayice and medicine,0
375,Damn little freshman The Beach is where its at Youre probably not having a good time and think its too much like high school cuz youre only stickin too your little high school friends Youre in college now get out there and meet people In other wordsgrow up,0
376,baby i got to min left,1
377,you  think about me alot,1
378,I didnt get anything da,0
379,it felt good,1
380,Kind of Took it to garage Centre part of exhaust needs replacing Part ordered n taking it to be fixed tomo morning,0
381,We don call like  ltgt  times oh No give us hypertension oh,0
382,i trust you,1
383,No I dont like that ending Come up with something better and report back later,0
384,Not for possession especially not first offense,0
385,Ok no problem Yup im going to sch at 4 if i rem correctly,0
386,I will come with karnan car Please wait till 6pm will directly goto doctor,0
387,well i got to go now,1
388,are you  excited about sex now,1
389,cause i can get in trouble,1
390, well id only say nice things to you and try to think about what you  like and what makes you  happy,1
391,Cant believe i said so many things to you this morning when all i really wanted to say was good morning i love you Have a beautiful morning See you in the library later,0
392,No Ill meet you in the library,0
393, 1 Its called freedom of speech 2 If I vote for a candidate and he turns into a huge douchebag do I still have grounds to complain eg Bush 3 If you think every candidate sucks ass and none of them are worthy of your vote you get more respect from me than if you vote for the person that sucks the least out of the top 2 parties because you think a 3rd party vote is a wasted vote 4 Theyre taking your money theyre running your lives You ALWAYS have the right to complain,0
394,did he cover that rehab song,0
395,probably we will then,1
396,You have to pls make a note of all shes exposed to Also find out from her school if anyone else was vomiting Is there a dog or cat in the house Let me know later,0
397,Congrats  Treat pendingi am not on mail for 2 dayswill mail once thruRespect mother at homecheck mails,0
398,they must look nice on you,1
399, Only,0
400,but he said what it was,1
401,10 min later k,0
402,what you thinking,1
403,nice warm lotion all over your body,1
404,I got me a little 125cc bike at the moment I put 5 in it and it does 100 miles or so  I use it instead of my car at the moment The car does 100 miles on about 14  I think the future is mopeds,0
405,how long we will you have,1
406,Yes obviously but you are the eggspert and the potato head Speak soon ,0
407,45 man cream pie that hoe didnt see it cuming lol,0
408,Good afternoon my love How goes that day  I hope maybe you got some leads on a job I think of you boytoy and send you a passionate kiss from across the sea,0
409,now if i was to take your virginity where would it happen at,1
410,Honestly ive just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out,0
411,that is messed up,1
412,Yup having my lunch buffet now U eat already,0
413,i love to pain,1
414,i could come over after work to fuck you  tomorrow night,1
415,That said can you text him one more time,0
416,i mean in naughty way,1
417,You should get more chicken broth if you want ramen unless theres some I dont know about,0
418,I like to make you  smile,1
419,i like that,1
420,Well you pay over like  ltgt yrs so its not too difficult,0
421,yeah that sounds nice,1
422,is it big,1
423,Go fool dont cheat others ok,0
424,neithere can i,1
425,You call him and tell now infront of them Call him now,0
426,what is the link,1
427,yes i do have kids and i see them avery two weeks,1
428, that one I saw ,0
429,you  like being held,1
430, Lol its odd to see a righty from Boston Good for you man for not succumbing to the left wing,0
431,did you suck your  exs cock before ,1
432,I unshap your bra and let it fall to the floor,1
433,cause i am going to ask for you  and give you  a kiss,1
434,  Source I will not accept your ass as a source,0
435,How are you doing Hows the queen Are you going for the royal wedding,0
436,Ok enjoy  R u there in home,0
437,So lets make it saturday or monday as per convenience,0
438,Its the system that is at fault here Even if they come forward theres a good chance it wouldnt have made a difference Having said that however had it been me I would have went to the judge and DA and told what I know and given up the license At least maybe the verdict could have been overturned Only maybe but worth a shot Even if they didnt give up their client just said that someone else confessed to the crime What I dont get is why they didnt do it after their client got convicted He was done for anyway,0
439,would you be worried about getting pregnant,1
440,and your neighbhors they are not going to know when i get there,1
441,can wait for what baby,1
442,wish you are here,1
443,You only hate me You can call any but you didnt accept even a single call of mine Or even you messaged,0
444,X2  ltgt  Are you going to get that,0
445,so do you want me to come over and bring the drinks,1
446,Finish already Yar they keep saying i mushy I so embarrassed ok,0
447,how big are your tits baby,1
448,Jason says its cool if we pick some up from his place in like an hour,0
449,does your mom bring guys home,1
450,we will you  give me a blowjob too,1
451,Hey You got any mail,0
452,missionary or doggy,1
453,to finally meet u,1
454,Will  b going to esplanade fr home,0
455,Aiyar u so poor thing I give u my support k Jia you Ill think of u,0
456,OH YEAHAND HAV A GREAT TIME IN NEWQUAYSEND ME A POSTCARD 1 LOOK AFTER ALL THE GIRLS WHILE IM GONEU KNOW THE 1IM TALKIN BOUTxx,0
457,ok what time is she living,1
458,Hey pple700 or 900 for 5 nightsExcellent location wif breakfast hamper,0
459,your mom sleeping,1
460,just the pits  Was that an intentional pun,0
461,Yeah whatever lol,0
462,Have a nice day my dear,0
463,Pls dont forget to study,0
464,darn i got to go my moms callin me,1
465, what if he just brougth you  to the beach and lay down on a blanket with you holding you  just watching the sun set ,1
466,i have an umbrella,1
467,it always heppens that way,1
468,Good question  ,0
469,U attend ur driving lesson how many times a wk n which day,0
470,my tongue up inside you,1
471,Time n Smile r the two crucial things in our life Sometimes time makes us to forget smile and sometimes someones smile makes us to forget time gud noon,0
472,dont go away,1
473,Yeah dont go to bed Ill be back before midnight,0
474,   The President of the United States is the most powerful man on the planet  He can erase COUNTRIES with a word  Im just glad Barack X has so much experience  Now I know I can trust him,0
475,Yeah why not is the gang all ready,0
476,No To be nosy I guess Idk am I over reacting if Im freaked,0
477,Pls tell nelson that the bbs are no longer comin The money i was expecting aint coming,0
478,Whens your radio show,0
479,  The American people chose Obama And dont come here giving me that Hillary had the popular vote bullshit The only reason she had slightly more popular votes then Obama was because his name wasnt on the ballot in Michigan when hers was lolClinton and her dumb supporters wanting those votes to count,0
480,Oh  A half hour is much longer in Syria than Canada eh  Wow you must get SO much more work done in a day than us with all that extra time  grins,0
481,so when mom get home,1
482, thk of wat to eat tonight,0
483,to see if your mad at me i have not talked to all day,1
484,Hey loverboy I love you  I had to tell  I look at your picture and ache to feel you between my legs  Fuck I want you  I need you  I crave you ,0
485,Ding me on ya break fassyole Blacko from londn,0
486, You are in an EXTREME minority here Most people loved the ending to The Mist,0
487,you  problably havnt had sex before,1
488,no babe i am clean,1
489,LOLzmine would have made us write essays then go do extra math ,0
490,i will give it 11 years,1
491,Captain vijaykanth is doing comedy in captain tvhe is drunken ,0
492,Yep I do like the pink furniture tho,0
493,Don no dawhats you plan,0
494,No it was cancelled yeah baby Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,0
495,Really gooddhanush rocks once again,0
496,we go to a motel,1
497,what time is that,1
498,    The first American Flag was sown of hemp and the original draft of the Constitution was written on Hemp paper,0
499,can i ask you something then what turns you on about a older guy,1
500,You flippin your shit yet,0
501,Hey what are you doing Y no reply pa,0
502,you  ever touch you are self,1
503,your pussy soaked,1
504,Oh sorry please its over,0
505,you will be happy if i did,1
506,Im home,0
507,Hey we can go jazz power yoga hip hop kb and yogasana ,0
508,lol Pippi is the shit  I got mad old VHS tapes of Emil and those other lames,0
509,eat my sperm,1
510,  Then you must be stupid  cause you dont read what you are posting to     you responded to this post an hour before you responded to mine   XP,0
511,And how you will do that princess ,0
512,Can you believe there is still gonna be something that is gonna happen in the movie forum in 5 days,0
513,  Im not a mortgage lender but if I was an unethical lender I would write you a zero down ARM with a great teaser rate just to get you into the mortgage because I know I can sell this arm loan off to Fannie and Freddie and I dont have to eat it when you default  I didnt really care what your income was is or could be because my profit is coming when I sell the mortgage off  Essentially my risk is minimal because it is assumed by Fannie and Freddie I make easy profits because I do not have to keep bad mortgages on my books,0
514,oh do you  shave your pussy at all,1
515,so you  wont get me in trouble for fucking your ass really hard then right laugh,1
516,  Well of course it is but Im saying that that other dude is blowing it wayy out of proportion Its not like every country on earth is perfect,0
517,how old are you,1
518,Id make love to you  on Cocoa Beach,1
519,haha im taken lol,0
520,maybe we we will see,1
521, Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,0
522,Yes a lot of new movies are garbage A lot of old movies are also garbage There has always been garbage and there will always be garbage Still some really good movies are being made Its just that most people dont bother to go see them Because they are FOREIGN shocking That said a lot of foreign films are also garbage lol,0
523,so tell me when do you  want to do this,1
524,he cuts her skin off and wears it while touching himself,0
525,Yar lor How u noe U used dat route too,0
526,Well Im going to be an aunty,0
527,Pls speak to that customer machan,0
528,   why was his post insane  Speak now I demand it,0
529,LOL what happens in Vegas stays in vegas,0
530,  Interesting to see some of the pundits tackling the issue head on that can only be a good thing,0
531,can you  see it,1
532,Think I could stop by in like an hour or so My roommates looking to stock up for a trip,0
533,o cool we go there sometimes,1
534,Love you aathilove u lot,0
535,i guess but i am using up all my callin card mins laugh,1
536,Been running but only managed 5 minutes and then needed oxygen Might have to resort to the roller option,0
537,did you  get my photo,1
538,Ok But bag again,0
539,i was hopin if you did you still will saw thenm,1
